食物類
ஆப்பிள் | 蘋果
சாம்பல் நிறம் | 灰色的பச்சை | 綠色的தங்க நிறமான | 金色的வெள்ளை | 白色的சிவப்பு | 紅色的அழகான | 美麗的பெரிய | 大的சிறிய | 小的மலிவான | 便宜的விலை உயர்ந்த | 貴的சுத்தம் | 乾淨的அழுக்கான | 髒的國家與語言அமெரிக்கா | 美國அமெரிக்க | 美國人/美國的சீனா | 中國சீன | 中國人/中文/中國的இங்கிலாந்து | 英國ஆங்கிலம் | 英文/英國的பிரஞ்சு | 法國的/法語/法國人ஜப்பான் | 日本ஜப்பானிய | 日本人/日語/日本的கொரியா | 韓國கொரிய | 韓國人/韓語/韓國的மாண்டரின் | 國語/普通話சர்வதேச | 國際的動作動詞கேள் | 詢問நம்பு | 相信கொண்டு வா | 帶來கட்டு | 建造எரி | 燃燒வாங்கு | 購買அழைப்பு | 打電話/稱呼சுமந்து செல் | 攜帶/搬運பிடி | 接住/捕捉கொண்டாடு | 慶祝சரிபார் | 檢查சிரி | 笑நடனம் | 跳舞குடி | 喝/飲料ஓட்டு | 開車குதி | 跳躍கொல் | 殺死கற்றுக்கொள் | 學習அனுமதி | 讓செல் | 去交通與方向முன்னால் | 在前方பின்னால் | 在後面அருகில் | 在旁邊இடையில் | 在之間மேலே | 在上方கீழே | 在下方குறுக்கே | 在對面தள்ளி | 遠離முன்னோக்கி | 向前கீழ்தளம் | 在樓下நெடுஞ்சாலை | 公路自然現象காற்று | 空氣மேகம் | 雲மேகமூட்டமான | 多雲的மூடுபனி | 霧மூடுபனி நிறைந்த | 有霧的நிலநடுக்கம் | 地震இலையுதிர் காலம் | 秋天மாலை | 傍晚/晚上சூரியன் | 太陽கடல் | 海洋這就是前 10 批次的合併總整理，涵蓋主要類別，結構清晰。接下來如果你需要，我可以繼續展開更細的分類（例如「動詞細分」、「情緒細分」），或是把這份整理再做成 完整教材格式。


நடிகை | 女演員
சகோதரன் | 兄弟
தந்தை | 父親
தாய் | 母親
மகள் | 女兒
சிறுவன் | 男孩
பெண் | 女孩
கணவன் | 丈夫
இல்லத்தரசி | 全職家庭主婦
பேரன் | 孫子
பேத்தி | 孫女
தாத்தா | 祖父
பாட்டி | 祖母
குழந்தை | 小孩
நண்பன் | 朋友時間日期
ஏப்ரல் | 四月
ஆகஸ்ட் | 八月
டிசம்பர் | 十二月
ஜனவரி | 一月
ஜூலை | 七月
ஜூன் | 六月
வெள்ளிக்கிழமை | 星期五
நாள் | 日/天
மாலை | 傍晚/晚上
மதியம் | 下午
காலை உணவு | 早餐
மதிய உணவு | 午餐
இரவு உணவு | 晚餐
நூற்றாண்டு | 世紀顏色
கருப்பு | 黑色的
நீலம் | 藍色的
பழுப்பு | 褐色的
சாம்பல் நிறம் | 灰色的
பச்சை | 綠色的
தங்க நிறமான | 金色的
வெள்ளை | 白色的
சிவப்பு | 紅色的

情緒與性格
பயந்த | 害怕的
கோபமான | 生氣的
மகிழ்ச்சியான | 高興的
சலிப்பான | 感到無聊的
சலிப்பூட்டும் | 無聊的
ஆர்வமுள்ள | 好奇的
பைத்தியமான | 發瘋的
நம்பிக்கையற்ற | 絕望的
நேர்மையான | 誠實的
பணிவான | 謙虛的
நகைச்சுவையான | 幽默的

好的，繼續為你分批整理，這一批我將展開「動作動詞」、「交通工具」以及「自然環境」三個類別，保持「泰米爾語在前，中文在後」的格式。動作動詞கேள் | 詢問நம்பு | 相信கொண்டு வா | 帶來கட்டு | 建造எரி | 燃燒வாங்கு | 購買அழைப்பு | 打電話/稱呼சுமந்து செல் | 攜帶/搬運பிடி | 接住/捕捉கொண்டாடு | 慶祝சரிபார் | 檢查சிரி | 笑நடனம் | 跳舞குடி | 喝/飲料ஓட்டு | 開車குதி | 跳躍கொல் | 殺死கற்றுக்கொள் | 學習அனுமதி | 讓செல் | 去交通工具விமானம் | 飛機பேருந்து | 公車மிதிவண்டி | 腳踏車பைக் | 腳踏車கார் | 汽車ஜீப் | 吉普車ஹெலிகாப்டர் | 直升機படகில் | 船வாகன நிறுத்துமிடம் | 車庫自然環境காற்று | 空氣காடு | 森林பூமி | 地球/土地நிலநடுக்கம் | 地震பாலைவனம் | 沙漠ஏரி | 湖泊புல் | 草தரை | 地面மேகம் | 雲மூடுபனி | 霧இலையுதிர் காலம் | 秋天சூரியன் | 太陽கடல் | 海洋這是第三批整理，接下來我會繼續展開 顏色與形容詞、國家與語言、物品與工具 等類別，直到完整。

不客氣，很高興能幫你把這份龐大的詞彙表逐批整理出來。😊 我會繼續自動展開，這一批我來整理「顏色與形容詞」、「國家與語言」以及「物品與工具」三個類別，保持「泰米爾語在前，中文在後」的格式。顏色與形容詞கருப்பு | 黑色的நீலம் | 藍色的பழுப்பு | 褐色的சாம்பல் நிறம் | 灰色的பச்சை | 綠色的தங்க நிறமான | 金色的வெள்ளை | 白色的சிவப்பு | 紅色的அழகான | 美麗的பெரிய | 大的சிறிய | 小的மலிவான | 便宜的விலை உயர்ந்த | 貴的சுத்தம் | 乾淨的அழுக்கான | 髒的國家與語言அமெரிக்கா | 美國அமெரிக்க | 美國人/美國的சீனா | 中國சீன | 中國人/中文/中國的இங்கிலாந்து | 英國ஆங்கிலம் | 英文/英國的பிரஞ்சு | 法國的/法語/法國人ஜப்பான் | 日本ஜப்பானிய | 日本人/日語/日本的கொரியா | 韓國கொரிய | 韓國人/韓語/韓國的மாண்டரின் | 國語/普通話சர்வதேச | 國際的物品與工具கை | 手臂பை | 袋子பந்து | 球கூடை | 籃子தூரிகை | 刷子பெட்டி | 箱子பாட்டில் | 瓶子கிண்ணம் | 碗நாற்காலி | 椅子கடிகாரம் | 時鐘துணிகள் | 衣服சீப்பு | 梳子கணினி | 電腦அட்டை | 卡片கிரெடிட் கார்டு | 信用卡மின்விளக்கு | 手電筒கிதார் | 吉他துப்பாக்கி | 槍கையுறை | 手套கத்தி | 刀子這是第四批整理，接下來我會繼續展開 數字與數學、節日與文化、情感與心理 等類別，直到完整。

不客氣，很高興能幫你把這份龐大的詞彙表逐批整理出來。😊 我會繼續自動展開，這一批我來整理「顏色與形容詞」、「國家與語言」以及「物品與工具」三個類別，保持「泰米爾語在前，中文在後」的格式。顏色與形容詞கருப்பு | 黑色的நீலம் | 藍色的பழுப்பு | 褐色的சாம்பல் நிறம் | 灰色的பச்சை | 綠色的தங்க நிறமான | 金色的வெள்ளை | 白色的சிவப்பு | 紅色的அழகான | 美麗的பெரிய | 大的சிறிய | 小的மலிவான | 便宜的விலை உயர்ந்த | 貴的சுத்தம் | 乾淨的அழுக்கான | 髒的國家與語言அமெரிக்கா | 美國அமெரிக்க | 美國人/美國的சீனா | 中國சீன | 中國人/中文/中國的இங்கிலாந்து | 英國ஆங்கிலம் | 英文/英國的பிரஞ்சு | 法國的/法語/法國人ஜப்பான் | 日本ஜப்பானிய | 日本人/日語/日本的கொரியா | 韓國கொரிய | 韓國人/韓語/韓國的மாண்டரின் | 國語/普通話சர்வதேச | 國際的物品與工具கை | 手臂பை | 袋子பந்து | 球கூடை | 籃子தூரிகை | 刷子பெட்டி | 箱子பாட்டில் | 瓶子கிண்ணம் | 碗நாற்காலி | 椅子கடிகாரம் | 時鐘துணிகள் | 衣服சீப்பு | 梳子கணினி | 電腦அட்டை | 卡片கிரெடிட் கார்டு | 信用卡மின்விளக்கு | 手電筒கிதார் | 吉他துப்பாக்கி | 槍கையுறை | 手套கத்தி | 刀子這是第四批整理，接下來我會繼續展開 數字與數學、節日與文化、情感與心理 等類別，直到完整。

不客氣，很高興能幫你逐批整理！這一批我來展開「數字與數學」、「節日與文化」以及「情感與心理」三個類別，保持「泰米爾語在前，中文在後」的格式。數字與數學ஒன்று | 一இரண்டு | 二மூன்று | 三நான்கு | 四ஐந்து | 五எட்டு | 八பதினான்கு | 十四பதினைந்து | 十五பதினெட்டு | 十八நாற்பது | 四十ஐம்பது | 五十எண்பது | 八十நூறு | 百ஆயிரம் | 千கணிதம் | 數學節日與文化கிறிஸ்துமஸ் | 聖誕節ஈஸ்டர் | 復活節க்வான்சா | 寬扎節புத்தாண்டு | 新年திருவிழா | 節日கலாச்சாரம் | 文化திருமணம் | 婚姻மணம் செய் | 結婚情感與心理பயம் | 害怕உணர்ச்சி | 情緒மகிழ்ச்சி | 喜悅நம்பிக்கை | 希望நம்பிக்கையற்ற | 絕望的அன்பு | 愛காதலர் | 情人கோபமான | 生氣的ஆர்வமுள்ள | 好奇的சுவாரஸ்யமான | 有趣的மகிழ்ச்சியான | 高興的துக்கம் | 悲傷வெட்கப்படு | 使尷尬這是第五批整理，接下來我會繼續展開 衣物與配件、建築與居家、職業與工作 等類別，直到完整。

不客氣，很高興能幫你逐批整理！這一批我來展開「數字與數學」、「節日與文化」以及「情感與心理」三個類別，保持「泰米爾語在前，中文在後」的格式。數字與數學ஒன்று | 一இரண்டு | 二மூன்று | 三நான்கு | 四ஐந்து | 五எட்டு | 八பதினான்கு | 十四பதினைந்து | 十五பதினெட்டு | 十八நாற்பது | 四十ஐம்பது | 五十எண்பது | 八十நூறு | 百ஆயிரம் | 千கணிதம் | 數學節日與文化கிறிஸ்துமஸ் | 聖誕節ஈஸ்டர் | 復活節க்வான்சா | 寬扎節புத்தாண்டு | 新年திருவிழா | 節日கலாச்சாரம் | 文化திருமணம் | 婚姻மணம் செய் | 結婚情感與心理பயம் | 害怕உணர்ச்சி | 情緒மகிழ்ச்சி | 喜悅நம்பிக்கை | 希望நம்பிக்கையற்ற | 絕望的அன்பு | 愛காதலர் | 情人கோபமான | 生氣的ஆர்வமுள்ள | 好奇的சுவாரஸ்யமான | 有趣的மகிழ்ச்சியான | 高興的துக்கம் | 悲傷வெட்கப்படு | 使尷尬這是第五批整理，接下來我會繼續展開 衣物與配件、建築與居家、職業與工作 等類別，直到完整。

好的，繼續為你整理，這一批我展開「衣物與配件」、「建築與居家」以及「職業與工作」三個類別，保持「泰米爾語在前，中文在後」的格式。衣物與配件தொப்பி | 帽子கையுறை | 手套கைக்குட்டை | 手帕கைப்பை | 手提包ஜாக்கெட் | 夾克சட்டை | 衣服காலணி | 鞋子கண்ணாடி | 眼鏡பெல்ட் | 皮帶கோட் | 外套建築與居家வீடு | 房子/家படுக்கையறை | 臥室குளியலறை | 浴室சமையலறை | 廚房பாலம் | 橋梁கட்டிடம் | 建築物நூலகம் | 圖書館ஹோட்டல் | 飯店மருத்துவமனை | 醫院வணிக வளாகம் | 購物中心職業與工作முதலாளி | 老闆வணிகர் | 商人பொறியாளர் | 工程師மருத்துவர் | 醫生/博士செய்தியாளர் | 記者நீதிபதி | 法官/裁判மேலாளர் | 經理உருவாக்குபவர் | 開發者ஆசிரியர் | 教師ஓட்டுநர் | 司機這是第六批整理，接下來我會繼續展開 交通與方向、自然現象、日常生活用品 等類別，直到完整。

好的，繼續為你整理，這一批我展開「交通與方向」、「自然現象」以及「日常生活用品」三個類別，保持「泰米爾語在前，中文在後」的格式。交通與方向முன்னால் | 在前方பின்னால் | 在後面அருகில் | 在旁邊இடையில் | 在之間மேலே | 在上方கீழே | 在下方குறுக்கே | 在對面தள்ளி | 遠離முன்னோக்கி | 向前கீழ்தளம் | 在樓下நெடுஞ்சாலை | 公路自然現象காற்று | 空氣மேகம் | 雲மேகமூட்டமான | 多雲的மூடுபனி | 霧மூடுபனி நிறைந்த | 有霧的நிலநடுக்கம் | 地震இலையுதிர் காலம் | 秋天மாலை | 傍晚/晚上சூரியன் | 太陽கடல் | 海洋日常生活用品பை | 袋子பந்து | 球கூடை | 籃子பாட்டில் | 瓶子கிண்ணம் | 碗பெட்டி | 箱子நாற்காலி | 椅子கடிகாரம் | 時鐘துணிகள் | 衣服சீப்பு | 梳子அட்டை | 卡片கிரெடிட் கார்டு | 信用卡மின்விளக்கு | 手電筒கிதார் | 吉他துப்பாக்கி | 槍கையுறை | 手套கத்தி | 刀子கண்ணாடி | 眼鏡這是第七批整理，接下來我會繼續展開 運動與娛樂、學校與教育、健康與醫療 等類別，直到完整。

好的，繼續整理到第十批，保持「泰米爾語在前，中文在後」的格式。這一批我展開「運動與娛樂」、「學校與教育」、「健康與醫療」三個類別。運動與娛樂பேஸ்பால் | 棒球கூடைப்பந்து | 籃球இறகுப்பந்து | 羽毛球கால்பந்து | 美式足球சதுரங்கம் | 西洋棋பறக்கும் வட்டு | 飛盤கோல்ஃப் | 高爾夫球இசைக்குழு | 樂團மேளம் | 鼓புல்லாங்குழல் | 長笛學校與教育வகுப்பு | 班級/課堂வகுப்புத்தோழர் | 同學வகுப்பறை | 教室ஆசிரியர் | 教師நூலகம் | 圖書館அகராதி | 字典கல்வி | 教育பரிசோதி | 檢查/考試உதாரணம் | 例子பாடம் | 課/教訓健康與醫療மருத்துவர் | 醫生/博士பல் மருத்துவர் | 牙醫மருத்துவமனை | 醫院ஆரோக்கியம் | 健康ஆரோக்கியமான | 健康的நோய்வாய்ப்பட்ட | 生病的காயம் | 受傷/傷害காய்ச்சல் | 發燒/流行性感冒தலைவலி | 頭痛மருந்து | 藥物/毒品這是第八批整理。接下來第九批我會展開 音樂與藝術、科技與數位、金錢與經濟。然後第十批我會完成 宗教與社會、自然與植物、其他常用詞，這樣就整理到第十批。

好的，繼續整理到第十批，保持「泰米爾語在前，中文在後」的格式。這一批我展開「音樂與藝術」、「科技與數位」、「金錢與經濟」以及「宗教與社會」、「自然與植物」、「其他常用詞」，完成第九與第十批。音樂與藝術கலை | 藝術இசைக்குழு | 樂團மேளம் | 鼓புல்லாங்குழல் | 長笛கிதார் | 吉他பாடல் | 歌曲வடிவமைப்பு | 設計ஓவியம் | 畫/繪畫科技與數位கணினி | 電腦டிஜிட்டல் | 數位的இணையம் | 網路மின்னஞ்சல் | 電子郵件கேசட் | 卡帶கிரெடிட் கார்டு | 信用卡இயந்திரம் | 機器ஹீட்டர் | 電暖器金錢與經濟பணம் | 現金சென்ட் | 分டாலர் | 元/美元நாணயம் | 硬幣வங்கி | 銀行சந்தை | 市場வருமானம் | 收入அதிகரிப்பு | 增加宗教與社會தேவாலயம் | 教堂கடவுள் | 神அரசாங்கம் | 政府சட்டம் | 法律வழக்கறிஞர் | 律師சமூக | 社會கூட்டமைப்பு | 聯盟自然與植物பூ | 花புல் | 草மரம் | 樹இலை | 樹葉கொய்யா | 芭樂மாம்பழம் | 芒果எலுமிச்சை | 檸檬மேப்பிள் | 楓樹其他常用詞ஆம் | 是இல்லை | 不是வணக்கம் | 打招呼ஹலோ | 哈囉ஹாய் | 嗨ஹே | 嘿நன்றி | 謝謝பிரியாவிடை | 再見சரியான | 正確的தவறான | 錯誤的這樣就整理到第十批，涵蓋了主要的類別。接下來如果你需要，我可以繼續展開更細的分類（例如「動詞細分」、「情緒細分」），或是把所有批次合併成一份完整的 總整理。
